asin,rating,reviewCount,httpStatus
B0F172K7CT,4.4,536,200
B0C8PR4W22,3.2,29099,200
B01CU9X8EI,4.7,58,200
B0BZ439ZWF,4.3,1375,200
B08JGX3FFQ,5.0,28,200
B0FM41P5JC,4.0,28,200
B0D188RXRW,4.4,2837,200
B07NQRM6ML,4.1,53,200
B0BW34LCB8,4.4,277,200
B0GWPNFR6J,4.5,4,200
B0D1K16ZMK,4.5,66,200
B09FTP8TYJ,4.5,18427,200
B0922DG9PZ,4.6,4416,200
B0C77WN21X,4.5,134672,200
B0DP25DX25,4.5,22,200
B0FZSYSP8Y,4.2,3610,200
B096RZ84T3,4.4,38321,200
B0FDKWWH7D,4.4,2741,200
B09B7NQT2K,4.6,5666,200
B0GRPBDM36,5.0,1132,200
B0CVQTWGBX,4.3,1409,200
B0B39NFQWK,4.3,7471,200
B0CF62C2SF,4.3,1119,200
B073VJPM4Z,4.3,3902,200
B0D7NBDGC5,4.5,3015,200
B07D5N2SPD,4.7,6560,200
B0DGLFW94K,4.4,2828,200
B09MJKJYLQ,4.5,608,200
B0C4YDRHBS,4.2,903,200
B0CDLBQ9PK,4.5,1470,200
B0D9QPXVSG,4.2,16957,200
B08GWP7CHY,4.5,70165,200
B09JC86WNK,4.2,1155,200
B0CXPWMSX6,4.3,5866,200
B0CHQRLBR4,3.0,1432,200
B01HOVQLCI,4.5,79,200
B0CSRF4MV3,4.5,8990,200
B07C3SWZXK,4.7,12803,200
B0DDT2VW7T,4.7,3795,200
B07DCCVJ6G,4.8,16,200
B0F8B24N5Q,4.4,276,200
B0825WGJSM,4.7,64793,200
B0D1VVVX9Q,4.5,433,200
B0D7JG4VLD,4.6,281,200
B0F246YCGH,4.3,126,200
B0B687J37D,4.6,550,200
B08DKQ3JG1,4.2,1036,200
B07JNYMHFW,4.3,774,200
B0DJ12CTBR,4.6,78703,200
B0G52M6J8P,4.7,2145,200
B0FMFCJ6H3,5.0,141,200
B088C5JZD7,4.6,3999,200
B099ZCDSCX,4.6,34463,200
B00J2EV2V6,3.9,199,200
B08865WLNB,4.5,44,200
B09GL7GMVC,4.6,3295,200
B0D4HVYYTK,4.1,3159,200
B0DCP2ZMKD,4.6,2314,200
B09CLWHDXW,4.5,12,200
B0GHY7RRTZ,4.6,194,200
B000K226U0,4.4,618,200
B08DM61FZP,4.6,12570,200
B0F7X49H2S,4.7,148,200
B083SPVD5V,4.5,145,200
B0CWPNBC4Z,4.6,1551,200
B083R567RC,4.3,679,200
B0FSL5QDXV,4.3,7502,200
B0DPW5R2Y3,4.4,1090,200
B0FF4CBH19,4.1,150,200
B0BR88JWTW,4.5,4496,200
B0FWKLZCT2,4.7,24410,200
B0BG62W1P6,4.3,40593,200
B01N1U5CPC,4.3,2243,200
B0BGQWS812,4.4,2129,200
B089ZY5ZGP,4.7,5414,200
B00VA5HG0Q,4.7,52096,200
B0D413K9NM,4.1,162,200
B0BBGHDPX9,4.5,1181,200
B0B1W5R11Y,4.8,1474,200
B006NONHNE,4.2,478,200
B0BYJQTKBC,4.1,705,200
B0G92DVNLC,4.8,30,200
B09XPV69PX,4.6,4652,200
B0F4MNT1SS,4.5,57,200
B07W75MMTL,4.4,7452,200
B0784HWPN6,4.1,2555,200
B09BB6CB2W,5.0,651,200
B0FQB9L2T3,4.2,988,200
B0D3HCHDNV,4.7,29476,200
B0D3V6Y38G,4.7,1190,200
B08LVSFN4X,4.3,57818,200
B0GNTRDCMD,4.5,70,200
B07DKMKTR5,4.7,222,200
B0C7TMTX2N,4.7,5707,200
B085MJGYH4,4.6,4855,200
B0CJMN7LD7,4.7,3545,200
B07TNNCSJD,4.7,43,200
B00NHQF6MG,4.8,4362,200
B00TFWOS8Y,4.8,1694,200
B00008BFZH,4.8,3541,200
B07NHS4D4T,4.5,6205,200
B01L5E7OB2,4.6,346,200
B0993963BN,4.7,1583,200
B07Q4N5MWD,4.3,4273,200
B0D349WBW4,4.5,14,200
B0B2K4PG6W,4.4,794,200
B07S2J9C74,4.5,10510,200
B0G6WR4XFT,4.7,1537,200
B0F8WXS8YH,4.5,12333,200
B077Z1R28P,4.8,995,200
B00658MWUW,4.6,4441,200
B01IAIMHQ8,4.5,9674,200
B0CX5J18JY,4.4,128,200
B08GG42WXY,4.7,40338,200
B0CTB12MDJ,4.0,777,200
B0CJ1NHWGX,4.8,10047,200
B0BZ533RSR,4.3,22,200
B0855F4W1Q,4.6,11784,200
B0B8ZYG8YC,4.7,7192,200
B001E1Y5O6,4.7,3470,200
B08BRJHJF9,4.6,87569,200
B08NQL3KC8,4.7,3626,200
B0B4G2GKQW,4.5,4855,200
B07P29XQR4,4.6,4351,200
B07CPZXMJ5,4.6,3968,200
B0CJSZSCKL,4.7,9477,200
B094RDCQK4,4.7,1702,200
B08QY3N85N,4.8,60560,200
B00ZQXT4EY,4.8,8153,200
B00GAGC9B6,4.8,43592,200
B08Y6G26L2,4.5,7331,200
B07TDN9MKC,4.8,15890,200
B0BFFFDYXJ,4.2,399,200
B08B3X7NXC,4.4,98838,200
B01BEZ0LDK,4.8,3842,200
B09738CV2G,4.4,774,200
B0CSJPDYDN,4.2,139,200
B07NZZZ746,4.4,704,200
B07L755X9G,4.4,187,200
B006JH8T3S,4.2,21967,200
B0DSLXPCJW,4.3,366,200
B09HZTKLNP,4.4,1533,200
B09FDTXDBP,4.6,6422,200
B091W88WX5,4.3,22827,200
B00LB7REFK,3.9,3261,200
B0BNBF4LZR,4.4,133031,200
B0CMHDPQ71,4.5,159,200
B0DG2CRTBK,4.4,1055,200
B08Z5X1L1S,4.7,149,200
B09B2SBHQK,4.2,571172,200
B09BBHCQ3L,4.4,7344,200
B07G142F9Z,4.4,33320,200
B0DW51C1JV,4.7,1054,200
B09NH1XZ4Y,4.6,9545,200
B0FCFSBN73,4.8,549,200
B08S6XG2GB,4.4,43000,200
B08Y73331D,4.2,109,200
B0C6YMRDM2,4.6,544,200
B06XCZFCFZ,4.5,63304,200
B08S1DTNLB,4.6,314,200
B0B5DYY1HQ,4.2,12084,200
B0BZGZMTGF,4.6,9165,200
B0D9HMCYKC,4.8,9733,200
B00U3ODTV0,4.8,17446,200
B011GGG3DE,4.4,11932,200
B0C6RBS846,4.4,723,200
B0F948T39B,5.0,28,200
B0C6BQVDX3,4.2,630,200
B0CCZ1L489,4.0,21449,200
B07H8WTFHW,4.3,5075,200
B0BJV68C17,4.6,3124,200
8883701127,4.8,2590,200
B00EYPH5OQ,4.8,730,200
B083GC98D8,4.4,971,200
B00133X1V8,4.6,12570,200
B0G6HLWS6Q,4.2,3199,200
B08N5LDWP9,4.7,565,200
B01KP4L2IE,4.4,108958,200
B0F5PDJRQ3,5.0,238,200
B0DB62Z2ZG,4.5,110,200
B07LB5J3QM,4.5,6671,200
B07F45GGPT,4.5,11094,200
B0BWJDMGJT,4.4,23650,200
B092VT1JGD,4.5,3181,200
B0BQM4TKF7,4.6,2043,200
B0DCZWBNC2,4.3,191,200
B0050P21B6,4.4,207,200
B0CLBXR8G9,4.6,511,200
B08K1C4KP1,4.4,11927,200
B000RWA8TY,4.7,52096,200
B0GT1PPLQH,4.4,2427,200
B0D92HZMK2,4.7,31918,200
